,Unnamed: 0,trial,sentence,condition,interference,transition,violation,trigger_number,filler,quantity,tokens,token_scores,sentence_score
11425,11425,11425,The woman that dislikes the clever friendly plumbers lies.,full,destructive,rough,no,singular,no,,"['The', 'Ġwoman', 'Ġthat', 'Ġdisl', 'ikes', 'Ġthe', 'Ġclever', 'Ġfriendly', 'Ġpl', 'umbers', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 0.0005347932456061244, 0.0029968428425490856, 6.322297394945053e-06, 0.5316513776779175, 0.07052616029977798, 9.698705980554223e-06, 3.2113996439875336e-06, 0.00018325404380448163, 0.04628642648458481, 0.00014923932030797005, 0.04434509575366974, 0.005474193952977657]",0.002996842842549
6214,6214,6214,The painters that like the lovely cool teacher sings.,full,destructive,smooth,yes,plural,no,,"['The', 'Ġpain', 'ters', 'Ġthat', 'Ġlike', 'Ġthe', 'Ġlovely', 'Ġcool', 'Ġteacher', 'Ġsings', '.', '<|endoftext|>']","[0.037699710577726364, 5.916435475228354e-05, 0.005760084837675095, 0.010309633798897266, 0.0005978990811854601, 0.024490714073181152, 0.00026865664403885603, 0.00020453761680983007, 2.3521210096077994e-05, 1.2632330253836699e-05, 0.04102127254009247, 0.016270766034722328]",0.0031789919594302
849,849,849,The women who love the friendly nice barber pray.,full,destructive,rough,no,plural,no,,"['The', 'Ġwomen', 'Ġwho', 'Ġlove', 'Ġthe', 'Ġfriendly', 'Ġnice', 'Ġbar', 'ber', 'Ġpray', '.', '<|endoftext|>']","[0.037699710577726364, 0.0002731915155891329, 0.052743129432201385, 0.002444795100018382, 0.053950246423482895, 3.7372894439613447e-05, 6.973392009967938e-05, 0.0013965670950710773, 0.018621109426021576, 7.513185664720368e-06, 0.009493188001215458, 0.005905212368816137]",0.0041750037344172
6458,6458,6458,The author that loves the painters the least pray.,interpolation,destructive,absent,yes,singular,no,subtractive,"['The', 'Ġauthor', 'Ġthat', 'Ġloves', 'Ġthe', 'Ġpain', 'ters', 'Ġthe', 'Ġleast', 'Ġpray', '.', '<|endoftext|>']","[0.037699710577726364, 0.0008682538173161447, 0.0002632413525134325, 0.00038124716957099736, 0.05329364538192749, 0.0004769813676830381, 0.0073082828894257545, 0.0012972821714356542, 0.01084685605019331, 9.49845741615718e-07, 0.0426039844751358, 0.0157645121216774]",0.0043027825304307
8610,8610,8610,The builder that detests the teachers very little smokes.,interpolation,destructive,absent,no,singular,no,subtractive,"['The', 'Ġbuilder', 'Ġthat', 'Ġdet', 'ests', 'Ġthe', 'Ġteachers', 'Ġvery', 'Ġlittle', 'Ġsmokes', '.', '<|endoftext|>']","[0.037699710577726364, 1.896800495160278e-05, 0.0048370445147156715, 3.560681943781674e-05, 0.04926206171512604, 0.15420439839363098, 2.4475360987707973e-05, 3.741768887266517e-05, 0.001382277812808752, 6.944268079678295e-06, 0.05284785479307175, 0.00931127741932869]",0.0031096611637622
60,60,60,The vets that love the doctor very little prays.,interpolation,destructive,absent,yes,plural,no,subtractive,"['The', 'Ġvets', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġdoctor', 'Ġvery', 'Ġlittle', 'Ġpr', 'ays', '.', '<|endoftext|>']","[0.037699710577726364, 1.49282436723297e-06, 0.006717313081026077, 0.0022326617036014795, 0.06626482307910919, 0.0004900467465631664, 0.00010300424764864147, 0.0008740827324800193, 5.681687071046326e-06, 0.021668042987585068, 0.04207134619355202, 0.005235760938376188]",0.0037342113209888
517,517,517,The pilots that detest the tailor very little lie.,interpolation,destructive,absent,no,plural,no,subtractive,"['The', 'Ġpilots', 'Ġthat', 'Ġdet', 'est', 'Ġthe', 'Ġtailor', 'Ġvery', 'Ġlittle', 'Ġlie', '.', '<|endoftext|>']","[0.037699710577726364, 1.685904135229066e-05, 0.007430907804518938, 1.2777141819242388e-05, 0.011250197887420654, 0.20409290492534637, 1.2473204833440832e-06, 6.689331348752603e-05, 0.005069526843726635, 9.042296733241528e-05, 0.07428162544965744, 0.0033010952174663544]",0.0041853110305964
12802,12802,12802,The actor who rides elegantly although quite slowly cook.,control,absent,absent,yes,singular,no,,"['The', 'Ġactor', 'Ġwho', 'Ġrides', 'Ġeleg', 'antly', 'Ġalthough', 'Ġquite', 'Ġslowly', 'Ġcook', '.', '<|endoftext|>']","[0.037699710577726364, 0.0002429982414469123, 0.06758931279182434, 8.089611583272927e-06, 8.801945341474493e-07, 0.9975349307060242, 2.0272218534955755e-05, 0.0017392629524692893, 0.004390357062220573, 1.094045316563097e-07, 0.00477179978042841, 0.008918365463614464]",0.0030648100073449
14015,14015,14015,The woman who runs slowly yet quite quickly sings.,control,absent,absent,no,singular,no,,"['The', 'Ġwoman', 'Ġwho', 'Ġruns', 'Ġslowly', 'Ġyet', 'Ġquite', 'Ġquickly', 'Ġsings', '.', '<|endoftext|>']","[0.037699710577726364, 0.0005347932456061244, 0.26382583379745483, 0.003092491999268532, 2.136651573891868e-06, 0.0003664991818368435, 0.0007456772727891803, 0.00803006999194622, 4.677857941715047e-05, 0.015411904081702232, 0.005536398384720087]",0.0030924919992685
1039,1039,1039,The women who run quietly albeit rather slowly smokes.,control,absent,absent,yes,plural,no,,"['The', 'Ġwomen', 'Ġwho', 'Ġrun', 'Ġquietly', 'Ġalbeit', 'Ġrather', 'Ġslowly', 'Ġsmokes', '.', '<|endoftext|>']","[0.037699710577726364, 0.0002731915155891329, 0.052743129432201385, 0.008871674537658691, 2.662485940163606e-06, 1.1997794899798464e-05, 0.0007196868536993861, 0.010227218270301819, 2.522530735404871e-07, 0.04238676279783249, 0.0031954816076904535]",0.0031954816076904
14070,14070,14070,The painters who laugh elegantly though rather quickly sing.,control,absent,absent,no,plural,no,,"['The', 'Ġpain', 'ters', 'Ġwho', 'Ġlaugh', 'Ġeleg', 'antly', 'Ġthough', 'Ġrather', 'Ġquickly', 'Ġsing', '.', '<|endoftext|>']","[0.037699710577726364, 5.916435475228354e-05, 0.005760084837675095, 0.05865858122706413, 6.4385390032839496e-06, 8.639643965580035e-06, 0.9997292160987854, 0.000252874888246879, 0.00029343401547521353, 0.0038399866316467524, 0.00016217581287492067, 0.04020452871918678, 0.011469506658613682]",0.0038399866316467
8249,8249,8249,The judge who dislikes the careless happy waiter smoke.,full,constructive,rough,yes,singular,no,,"['The', 'Ġjudge', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġcareless', 'Ġhappy', 'Ġwaiter', 'Ġsmoke', '.', '<|endoftext|>']","[0.037699710577726364, 0.0002764117962215096, 0.09193785488605499, 2.2851595531392377e-06, 0.8160143494606018, 0.13734804093837738, 2.912590844061924e-06, 2.4347120870515937e-06, 1.4808519154030364e-05, 1.2936479834024794e-06, 0.0064034974202513695, 0.012178061529994011]",0.0033399546082364
12324,12324,12324,The plumber that detests the happy funny athlete lies.,full,constructive,smooth,no,singular,no,,"['The', 'Ġpl', 'umber', 'Ġthat', 'Ġdet', 'ests', 'Ġthe', 'Ġhappy', 'Ġfunny', 'Ġathlete', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 5.06484393554274e-05, 0.06936445087194443, 0.0031562538351863623, 2.781601324386429e-05, 0.166253924369812, 0.17218106985092163, 2.602468157419935e-05, 3.1777653930475935e-06, 3.4670301829464734e-06, 0.00028415225096978247, 0.058503493666648865, 0.004982104990631342]",0.0031562538351863
10027,10027,10027,The plumbers who hate the proud cool pilots prays.,full,constructive,rough,yes,plural,no,,"['The', 'Ġpl', 'umbers', 'Ġwho', 'Ġhate', 'Ġthe', 'Ġproud', 'Ġcool', 'Ġpilots', 'Ġpr', 'ays', '.', '<|endoftext|>']","[0.037699710577726364, 5.06484393554274e-05, 0.019695740193128586, 0.0460578091442585, 0.00014654829283244908, 0.12911616265773773, 5.4316060413839296e-06, 1.7090467736124992e-05, 4.3964530050288886e-05, 1.1719956091837958e-05, 0.0033492958173155785, 0.02468722313642502, 0.008858689107000828]",0.0033492958173155
2194,2194,2194,The pilots that love the clumsy careless plumbers cheat.,full,constructive,smooth,no,plural,no,,"['The', 'Ġpilots', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġclumsy', 'Ġcareless', 'Ġpl', 'umbers', 'Ġcheat', '.', '<|endoftext|>']","[0.037699710577726364, 1.685904135229066e-05, 0.007430907804518938, 0.0002363391686230898, 0.07777078449726105, 2.6235688892484177e-06, 1.437860305486538e-06, 0.0002460559189785272, 0.018231570720672607, 4.6622521040262654e-05, 0.08182363957166672, 0.006736456416547298]",0.0034912561677629
2014,2014,2014,The author who dislikes the painter the least run.,interpolation,constructive,absent,yes,singular,no,subtractive,"['The', 'Ġauthor', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġpainter', 'Ġthe', 'Ġleast', 'Ġrun', '.', '<|endoftext|>']","[0.037699710577726364, 0.0008682538173161447, 0.0010068155825138092, 1.899349081213586e-05, 0.9776700735092163, 0.09812826663255692, 1.4779398952668998e-05, 0.0010289865313097835, 0.00842244178056717, 3.7561396766250255e-06, 0.005929184146225452, 0.015010159462690353]",0.0034790853387676
14058,14058,14058,The lawyer who hates the baker very little swims.,interpolation,constructive,absent,no,singular,no,subtractive,"['The', 'Ġlawyer', 'Ġwho', 'Ġhates', 'Ġthe', 'Ġbaker', 'Ġvery', 'Ġlittle', 'Ġswim', 's', '.', '<|endoftext|>']","[0.037699710577726364, 9.883702296065167e-05, 0.2298094630241394, 7.698106855968945e-06, 0.10531402379274368, 6.790912721044151e-06, 4.147610525251366e-05, 0.0005061505362391472, 2.0344555196061265e-07, 0.4023078382015228, 0.006761583965271711, 0.008538317866623402]",0.0036338672507554
6423,6423,6423,The doctors who dislike the actors the least lies.,interpolation,constructive,absent,yes,plural,no,subtractive,"['The', 'Ġdoctors', 'Ġwho', 'Ġdislike', 'Ġthe', 'Ġactors', 'Ġthe', 'Ġleast', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 3.9233149436768144e-05, 0.1289704442024231, 2.7561131901165936e-06, 0.13716687262058258, 2.0906953068333678e-05, 0.0011058802483603358, 0.00511147128418088, 7.908153065727674e-07, 0.045026250183582306, 0.004317413084208965]",0.0043174130842089
10797,10797,10797,The lawyers that love the farmers the most pray.,interpolation,constructive,absent,no,plural,no,additive,"['The', 'Ġlawyers', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġfarmers', 'Ġthe', 'Ġmost', 'Ġpray', '.', '<|endoftext|>']","[0.037699710577726364, 4.672578870668076e-05, 0.005923125892877579, 5.112557846587151e-05, 0.06331892311573029, 2.2955489839660004e-05, 0.002446959726512432, 0.5287026762962341, 9.571097507432569e-06, 0.010218873620033264, 0.004226064775139093]",0.004226064775139
11187,11187,11187,The plumber that dislikes the lovely kind doctors cheat.,full,destructive,smooth,yes,singular,no,,"['The', 'Ġpl', 'umber', 'Ġthat', 'Ġdisl', 'ikes', 'Ġthe', 'Ġlovely', 'Ġkind', 'Ġdoctors', 'Ġcheat', '.', '<|endoftext|>']","[0.037699710577726364, 5.06484393554274e-05, 0.06936445087194443, 0.0031562538351863623, 4.163113044342026e-05, 0.38624683022499084, 0.13938966393470764, 5.061985575594008e-05, 0.00039884919533506036, 2.1480520899785915e-06, 1.57964532263577e-05, 0.054468050599098206, 0.009177977219223976]",0.0031562538351863
4483,4483,4483,The teacher that dislikes the young funny builders prays.,full,destructive,rough,no,singular,no,,"['The', 'Ġteacher', 'Ġthat', 'Ġdisl', 'ikes', 'Ġthe', 'Ġyoung', 'Ġfunny', 'Ġbuilders', 'Ġpr', 'ays', '.', '<|endoftext|>']","[0.037699710577726364, 7.631941116414964e-05, 0.0032341359183192253, 1.8439344785292633e-05, 0.5632219910621643, 0.0910193920135498, 0.0017749746330082417, 4.008958512713434e-06, 1.8278112179359596e-07, 4.45894620497711e-05, 0.26873496174812317, 0.029889551922678947, 0.009255890734493732]",0.0032341359183192
3707,3707,3707,The pilots who hate the clever careless man swims.,full,destructive,smooth,yes,plural,no,,"['The', 'Ġpilots', 'Ġwho', 'Ġhate', 'Ġthe', 'Ġclever', 'Ġcareless', 'Ġman', 'Ġswim', 's', '.', '<|endoftext|>']","[0.037699710577726364, 1.685904135229066e-05, 0.03067409247159958, 3.683617615024559e-05, 0.12760411202907562, 7.148595614125952e-06, 2.854121248674346e-06, 0.004435539245605469, 1.1669901141431183e-05, 0.04643073305487633, 0.003223616862669587, 0.0070006391033530235]",0.0038295780541375
9619,9619,9619,The chefs who detest the helpful proud barber pray.,full,destructive,rough,no,plural,no,,"['The', 'Ġchefs', 'Ġwho', 'Ġdet', 'est', 'Ġthe', 'Ġhelpful', 'Ġproud', 'Ġbar', 'ber', 'Ġpray', '.', '<|endoftext|>']","[0.037699710577726364, 6.014487553329673e-06, 0.07320870459079742, 8.897045518097002e-06, 0.6598738431930542, 0.16756105422973633, 1.211797894029587e-06, 1.1168413038831204e-07, 0.0004600683751050383, 0.04177692160010338, 5.535693162528332e-06, 0.003955116029828787, 0.00690494617447257]",0.0039551160298287
2576,2576,2576,The doctor that hates the judges the most run.,interpolation,destructive,absent,yes,singular,no,additive,"['The', 'Ġdoctor', 'Ġthat', 'Ġhates', 'Ġthe', 'Ġjudges', 'Ġthe', 'Ġmost', 'Ġrun', '.', '<|endoftext|>']","[0.037699710577726364, 0.00014899585221428424, 0.007267581764608622, 3.772986383410171e-05, 0.07561159133911133, 8.010786405066028e-05, 0.0009487137431278825, 0.8389102220535278, 8.350671123480424e-06, 0.002911162097007036, 0.006478880997747183]",0.002911162097007
1459,1459,1459,The farmer that loves the bankers very little cheats.,interpolation,destructive,absent,no,singular,no,subtractive,"['The', 'Ġfarmer', 'Ġthat', 'Ġloves', 'Ġthe', 'Ġbankers', 'Ġvery', 'Ġlittle', 'Ġche', 'ats', '.', '<|endoftext|>']","[0.037699710577726364, 3.362503775861114e-05, 0.005959069821983576, 0.0005404989351518452, 0.07677886635065079, 4.4651228563452605e-06, 0.0001246303872903809, 0.0004984364495612681, 1.043190059135668e-05, 0.6021803021430969, 0.12360551953315735, 0.009015509858727455]",0.0032497843785677
1171,1171,1171,The farmers that dislike the banker the least lies.,interpolation,destructive,absent,yes,plural,no,subtractive,"['The', 'Ġfarmers', 'Ġthat', 'Ġdislike', 'Ġthe', 'Ġbanker', 'Ġthe', 'Ġleast', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 2.8837483114330098e-05, 0.010469670407474041, 1.737881757435389e-05, 0.20032870769500732, 7.170608569140313e-06, 0.001604241319000721, 0.025822294875979424, 2.943889739981387e-06, 0.014003180898725986, 0.003299433272331953]",0.0032994332723319
3032,3032,3032,The waiters that love the lawyer the least sing.,interpolation,destructive,absent,no,plural,no,subtractive,"['The', 'Ġwait', 'ers', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġlawyer', 'Ġthe', 'Ġleast', 'Ġsing', '.', '<|endoftext|>']","[0.037699710577726364, 8.717281161807477e-05, 0.012124985456466675, 0.0026961672119796276, 0.0036145239137113094, 0.05304093658924103, 7.735728104307782e-06, 0.0009593404829502106, 0.0017824112437665462, 6.104542990215123e-06, 0.057473134249448776, 0.01492531318217516]",0.0031553455628454
3609,3609,3609,The plumber who rides quietly yet quite happily sing.,control,absent,absent,yes,singular,no,,"['The', 'Ġpl', 'umber', 'Ġwho', 'Ġrides', 'Ġquietly', 'Ġyet', 'Ġquite', 'Ġhappily', 'Ġsing', '.', '<|endoftext|>']","[0.037699710577726364, 5.06484393554274e-05, 0.06936445087194443, 0.05314220115542412, 6.0963775467826054e-05, 1.8002856450038962e-05, 0.00013541305088438094, 0.00088462233543396, 0.026632430031895638, 1.1388875464035664e-05, 0.005527240224182606, 0.00996313150972128]",0.0032059312798082
12175,12175,12175,The teacher who talks elegantly albeit quite slowly sings.,control,absent,absent,no,singular,no,,"['The', 'Ġteacher', 'Ġwho', 'Ġtalks', 'Ġeleg', 'antly', 'Ġalbeit', 'Ġquite', 'Ġslowly', 'Ġsings', '.', '<|endoftext|>']","[0.037699710577726364, 7.631941116414964e-05, 0.1632567197084427, 3.9521557482657954e-05, 2.6453765258338535e-06, 0.9991592168807983, 1.4909121546224924e-06, 0.0008292903658002615, 0.007085051853209734, 3.6066419852431864e-05, 0.019718743860721588, 0.005650592502206564]",0.0032399414340034
12536,12536,12536,The painters that walk quietly although rather quickly prays.,control,absent,absent,yes,plural,no,,"['The', 'Ġpain', 'ters', 'Ġthat', 'Ġwalk', 'Ġquietly', 'Ġalthough', 'Ġrather', 'Ġquickly', 'Ġpr', 'ays', '.', '<|endoftext|>']","[0.037699710577726364, 5.916435475228354e-05, 0.005760084837675095, 0.010309633798897266, 0.0003063570475205779, 5.2583338401746005e-05, 5.3927506087347865e-06, 0.00019582595268730074, 0.0038225362077355385, 3.331071638967842e-05, 0.0031061354093253613, 0.049049608409404755, 0.009453652426600456]",0.0031061354093253
4481,4481,4481,The farmers who run slowly although rather quickly smoke.,control,absent,absent,no,plural,no,,"['The', 'Ġfarmers', 'Ġwho', 'Ġrun', 'Ġslowly', 'Ġalthough', 'Ġrather', 'Ġquickly', 'Ġsmoke', '.', '<|endoftext|>']","[0.037699710577726364, 2.8837483114330098e-05, 0.11025957763195038, 0.004048723261803389, 1.023426648316672e-05, 3.231739901821129e-05, 0.00017864741676021367, 0.01928563416004181, 9.36859032663051e-06, 0.014242267236113548, 0.0034930414985865355]",0.0034930414985865
2235,2235,2235,The tailor who dislikes the nice charming teacher lie.,full,constructive,rough,yes,singular,no,,"['The', 'Ġtailor', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġnice', 'Ġcharming', 'Ġteacher', 'Ġlie', '.', '<|endoftext|>']","[0.037699710577726364, 2.2267468011705205e-06, 0.04698019474744797, 4.456055467016995e-05, 0.6063363552093506, 0.1242930069565773, 0.0001693582016741857, 5.90486524743028e-06, 0.00018293416360393167, 1.0939545973087661e-05, 0.02054402232170105, 0.00843588262796402]",0.0043094083957839
5786,5786,5786,The barber who likes the happy friendly waiter smokes.,full,constructive,smooth,no,singular,no,,"['The', 'Ġbar', 'ber', 'Ġwho', 'Ġlikes', 'Ġthe', 'Ġhappy', 'Ġfriendly', 'Ġwaiter', 'Ġsmokes', '.', '<|endoftext|>']","[0.037699710577726364, 0.00015501985035371035, 0.04543135687708855, 0.016085010021924973, 0.0006266023847274482, 0.022794269025325775, 7.280393765540794e-05, 4.384595013107173e-05, 0.00026900327065959573, 7.2373318289464805e-06, 0.013795866630971432, 0.005127758719027042]",0.0028771805518772
7502,7502,7502,The bakers that love the clumsy friendly judges swims.,full,constructive,rough,yes,plural,no,,"['The', 'Ġb', 'akers', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġclumsy', 'Ġfriendly', 'Ġjudges', 'Ġswim', 's', '.', '<|endoftext|>']","[0.037699710577726364, 0.00015020568389445543, 0.006068031303584576, 0.002866247436031699, 0.010799705982208252, 0.05399389564990997, 1.3845502735421178e-06, 2.0401465008035302e-05, 3.4124081139452755e-05, 6.8005560933670495e-06, 0.0048930165357887745, 0.01234598457813263, 0.004222616087645292]",0.0042226160876452
4248,4248,4248,The plumbers that hate the lazy happy farmers sing.,full,constructive,smooth,no,plural,no,,"['The', 'Ġpl', 'umbers', 'Ġthat', 'Ġhate', 'Ġthe', 'Ġlazy', 'Ġhappy', 'Ġfarmers', 'Ġsing', '.', '<|endoftext|>']","[0.037699710577726364, 5.06484393554274e-05, 0.019695740193128586, 0.005841181147843599, 0.000203145740670152, 0.10803461074829102, 0.0001357782311970368, 3.935907079721801e-05, 0.0003727225703187287, 3.219730206183158e-05, 0.035061661154031754, 0.007837951183319092]",0.0031069518590811
5055,5055,5055,The woman that likes the doctor the most cheat.,interpolation,constructive,absent,yes,singular,no,additive,"['The', 'Ġwoman', 'Ġthat', 'Ġlikes', 'Ġthe', 'Ġdoctor', 'Ġthe', 'Ġmost', 'Ġcheat', '.', '<|endoftext|>']","[0.037699710577726364, 0.0005347932456061244, 0.0029968428425490856, 0.00012353227066341788, 0.021500159054994583, 0.00032022770028561354, 0.0018227597465738654, 0.7261824607849121, 9.032634125105687e-07, 0.07713878899812698, 0.007331514731049538]",0.002996842842549
6506,6506,6506,The waiter that loves the athlete very much cooks.,interpolation,constructive,absent,no,singular,no,additive,"['The', 'Ġwaiter', 'Ġthat', 'Ġloves', 'Ġthe', 'Ġathlete', 'Ġvery', 'Ġmuch', 'Ġcooks', '.', '<|endoftext|>']","[0.037699710577726364, 8.850534868543036e-06, 0.0039015887305140495, 0.0003891167289111763, 0.04214427247643471, 3.020216126969899e-06, 0.00013535314064938575, 0.9710836410522461, 7.218283280963078e-05, 0.016850387677550316, 0.004336328711360693]",0.003901588730514
10639,10639,10639,The farmers who hate the doctors very little prays.,interpolation,constructive,absent,yes,plural,no,subtractive,"['The', 'Ġfarmers', 'Ġwho', 'Ġhate', 'Ġthe', 'Ġdoctors', 'Ġvery', 'Ġlittle', 'Ġpr', 'ays', '.', '<|endoftext|>']","[0.037699710577726364, 2.8837483114330098e-05, 0.11025957763195038, 0.00011912747140740976, 0.18731474876403809, 2.333852171432227e-05, 5.282782149151899e-05, 0.0010959941428154707, 4.890975105809048e-06, 0.029588697478175163, 0.04920327663421631, 0.005797847639769316]",0.0034469208912923
12580,12580,12580,The women who dislike the bankers very much pray.,interpolation,constructive,absent,no,plural,no,additive,"['The', 'Ġwomen', 'Ġwho', 'Ġdislike', 'Ġthe', 'Ġbankers', 'Ġvery', 'Ġmuch', 'Ġpray', '.', '<|endoftext|>']","[0.037699710577726364, 0.0002731915155891329, 0.052743129432201385, 2.919722828664817e-05, 0.09914948046207428, 3.1709980248706415e-05, 0.00010397064033895731, 0.942535936832428, 1.3503487934940495e-05, 0.013408802449703217, 0.0032734074629843235]",0.0032734074629843
10370,10370,10370,The teacher that detests the nice careless painters swim.,full,destructive,smooth,yes,singular,no,,"['The', 'Ġteacher', 'Ġthat', 'Ġdet', 'ests', 'Ġthe', 'Ġnice', 'Ġcareless', 'Ġpain', 'ters', 'Ġswim', '.', '<|endoftext|>']","[0.037699710577726364, 7.631941116414964e-05, 0.0032341359183192253, 2.3570790290250443e-05, 0.21294477581977844, 0.10761506855487823, 4.1624145524110645e-05, 3.818843197223032e-06, 1.871600943559315e-05, 0.06938642263412476, 2.8473355087044183e-06, 0.006336189806461334, 0.010793857276439667]",0.0032341359183192
12041,12041,12041,The waiter that dislikes the happy funny farmers swims.,full,destructive,rough,no,singular,no,,"['The', 'Ġwaiter', 'Ġthat', 'Ġdisl', 'ikes', 'Ġthe', 'Ġhappy', 'Ġfunny', 'Ġfarmers', 'Ġswim', 's', '.', '<|endoftext|>']","[0.037699710577726364, 8.850534868543036e-06, 0.0039015887305140495, 5.529909685719758e-06, 0.6808230876922607, 0.10318412631750107, 3.559948527254164e-05, 8.562736184103414e-06, 3.4473534924472915e-06, 2.41628094954649e-06, 0.13660189509391785, 0.005192876327782869, 0.00420795101672411]",0.003901588730514
352,352,352,The pilots that hate the lazy careless actor cheats.,full,destructive,smooth,yes,plural,no,,"['The', 'Ġpilots', 'Ġthat', 'Ġhate', 'Ġthe', 'Ġlazy', 'Ġcareless', 'Ġactor', 'Ġche', 'ats', '.', '<|endoftext|>']","[0.037699710577726364, 1.685904135229066e-05, 0.007430907804518938, 5.044944191467948e-05, 0.11497153341770172, 3.49850561178755e-05, 3.0096580303506926e-06, 0.00011606553016463295, 1.6216768926824443e-05, 0.5138475298881531, 0.024654284119606018, 0.010871296748518944]",0.0037734866673417
427,427,427,The vets who like the gentle funny plumber sing.,full,destructive,rough,no,plural,no,,"['The', 'Ġvets', 'Ġwho', 'Ġlike', 'Ġthe', 'Ġgentle', 'Ġfunny', 'Ġpl', 'umber', 'Ġsing', '.', '<|endoftext|>']","[0.037699710577726364, 1.49282436723297e-06, 0.05022811144590378, 0.00032503734109923244, 0.04692216217517853, 5.001370300306007e-05, 5.253682320471853e-05, 3.2849875424290076e-05, 0.057909317314624786, 8.930066542234272e-05, 0.03227273002266884, 0.008312005549669266]",0.0043185214453842
2566,2566,2566,The barber who likes the men very little lie.,interpolation,destructive,absent,yes,singular,no,subtractive,"['The', 'Ġbar', 'ber', 'Ġwho', 'Ġlikes', 'Ġthe', 'Ġmen', 'Ġvery', 'Ġlittle', 'Ġlie', '.', '<|endoftext|>']","[0.037699710577726364, 0.00015501985035371035, 0.04543135687708855, 0.016085010021924973, 0.0006266023847274482, 0.022794269025325775, 0.00045352004235610366, 0.00010166216816287488, 0.000984678976237774, 3.861972345475806e-06, 0.014857713133096695, 0.005627231672406197]",0.0033059553243219
14483,14483,14483,The waiter who dislikes the lawyers very little smokes.,interpolation,destructive,absent,no,singular,no,subtractive,"['The', 'Ġwaiter', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġlawyers', 'Ġvery', 'Ġlittle', 'Ġsmokes', '.', '<|endoftext|>']","[0.037699710577726364, 8.850534868543036e-06, 0.06101249158382416, 1.4375375030795112e-05, 0.49217382073402405, 0.1227831095457077, 1.2528671504696831e-05, 0.0001396273437421769, 0.0011970835039392114, 2.177847272832878e-05, 0.027550674974918365, 0.005424221977591515]",0.0033106527407653
4527,4527,4527,The builders who dislike the chef the least runs.,interpolation,destructive,absent,yes,plural,no,subtractive,"['The', 'Ġbuilders', 'Ġwho', 'Ġdislike', 'Ġthe', 'Ġchef', 'Ġthe', 'Ġleast', 'Ġruns', '.', '<|endoftext|>']","[0.037699710577726364, 1.1416104825912043e-05, 0.03016560710966587, 9.727904398459941e-06, 0.21260550618171692, 6.309865057119168e-06, 0.0006044855108484626, 0.03618429973721504, 8.841790304359165e-07, 0.0028715883381664753, 0.0062288255430758]",0.0028715883381664
14951,14951,14951,The barbers that love the doctor the most lie.,interpolation,destructive,absent,no,plural,no,additive,"['The', 'Ġbar', 'bers', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġdoctor', 'Ġthe', 'Ġmost', 'Ġlie', '.', '<|endoftext|>']","[0.037699710577726364, 0.00015501985035371035, 0.021894624456763268, 6.222881347639486e-05, 0.004581788554787636, 0.047753896564245224, 4.9632824811851606e-05, 0.0009207604452967644, 0.6213548183441162, 0.00010207096784142777, 0.053232282400131226, 0.002528489800170064]",0.0035551391774788
8065,8065,8065,The barber who runs quietly although quite elegantly run.,control,absent,absent,yes,singular,no,,"['The', 'Ġbar', 'ber', 'Ġwho', 'Ġruns', 'Ġquietly', 'Ġalthough', 'Ġquite', 'Ġeleg', 'antly', 'Ġrun', '.', '<|endoftext|>']","[0.037699710577726364, 0.00015501985035371035, 0.04543135687708855, 0.016085010021924973, 0.004320543259382248, 2.3127490749175195e-06, 8.589730714447796e-05, 0.0007587907603010535, 0.0006098962621763349, 0.9979231357574463, 6.714487972203642e-05, 0.0036187181249260902, 0.006423314101994038]",0.003618718124926
3754,3754,3754,The farmer who laughs slowly although quite quietly cheats.,control,absent,absent,no,singular,no,,"['The', 'Ġfarmer', 'Ġwho', 'Ġlaughs', 'Ġslowly', 'Ġalthough', 'Ġquite', 'Ġquietly', 'Ġche', 'ats', '.', '<|endoftext|>']","[0.037699710577726364, 3.362503775861114e-05, 0.1662406027317047, 4.7038556658662856e-06, 4.109560541110113e-05, 5.2233874157536775e-05, 0.0009611939894966781, 0.005949666257947683, 9.513148143014405e-06, 0.01433197595179081, 0.026616180315613747, 0.0075689759105443954]",0.0034554301237221
